domain,sld,tld,availability_status,score,tag,estimated_price,keyword_score,trend_score,tld_score,brandability_score,length_score,pronounceability_score,source,fetched_at,scored_at,country
metaai.au,metaai,.au,✅ Available,76.83,High Value,67.5,85.0,89.1,30.0,80.25,85.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
growfind.ai,growfind,.ai,✅ Available,76.75,High Value,226.8,85.0,53.4,92.0,83.5,74.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
syncai.us,syncai,.us,⚠️ For Sale,76.35,High Value,67.5,85.0,88.6,30.0,78.5,85.0,65.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
stackpro.com,stackpro,.com,⚠️ For Sale,76.34,High Value,49.68,85.0,49.96,100.0,79.75,74.0,65.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
plandata.com,plandata,.com,❌ Taken,76.26,High Value,49.68,70.0,63.05,100.0,85.5,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
cloudai.us,cloudai,.us,⚠️ For Sale,76.25,High Value,67.5,85.0,89.8,30.0,79.0,80.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
greenai.us,greenai,.us,⚠️ For Sale,76.2,High Value,67.5,85.0,88.6,30.0,80.25,80.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
corelab.io,corelab,.io,❌ Taken,75.75,High Value,229.5,85.0,52.6,85.0,81.75,80.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
payrent.com,payrent,.com,❌ Taken,75.73,High Value,62.1,70.0,60.14,100.0,83.5,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
healthpro.io,healthpro,.io,❌ Taken,75.5,High Value,183.6,85.0,61.4,85.0,76.0,67.0,75.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
wellai.in,wellai,.in,✅ Available,75.45,High Value,67.5,85.0,88.4,30.0,74.25,85.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
wellai.ae,wellai,.ae,✅ Available,75.45,High Value,67.5,85.0,88.4,30.0,74.25,85.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
healthapp.co,healthapp,.co,⚠️ For Sale,75.15,High Value,86.4,85.0,63.2,78.0,77.25,67.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
streamware.co,streamware,.co,✅ Available,74.9,High Value,86.4,85.0,62.0,78.0,81.0,60.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
labapp.tech,labapp,.tech,✅ Available,74.78,High Value,148.5,85.0,58.3,60.0,86.0,85.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
geteco.com,geteco,.com,❌ Taken,74.64,High Value,62.1,70.0,53.35,100.0,84.0,85.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
datafund.ai,datafund,.ai,❌ Taken,74.56,High Value,302.4,70.0,63.05,92.0,83.0,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
corepro.ai,corepro,.ai,⚠️ For Sale,74.44,High Value,378.0,85.0,41.16,92.0,84.25,80.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
stellarhub.com,stellarhub,.com,✅ Available,74.39,High Value,37.26,85.0,46.74,100.0,81.0,60.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
myhealth.com,myhealth,.com,✅ Available,74.31,High Value,49.68,70.0,63.05,100.0,75.75,74.0,62.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
echogame.com,echogame,.com,❌ Taken,74.19,High Value,49.68,70.0,65.96,100.0,71.5,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
syncbase.ai,syncbase,.ai,✅ Available,74.05,High Value,302.4,85.0,48.0,92.0,76.75,74.0,55.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
getfit.com,getfit,.com,✅ Available,74.01,High Value,62.1,70.0,50.44,100.0,84.5,85.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
datamint.tech,datamint,.tech,❌ Taken,73.93,High Value,118.8,85.0,61.7,60.0,83.0,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
findcook.com,findcook,.com,⚠️ For Sale,73.44,High Value,49.68,70.0,53.35,100.0,83.5,74.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
myhealth.ai,myhealth,.ai,⚠️ For Sale,73.11,High Value,302.4,70.0,63.05,92.0,75.75,74.0,62.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
gameedge.net,gameedge,.net,✅ Available,73.09,High Value,54.0,70.0,65.96,70.0,88.5,74.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
findrent.com,findrent,.com,⚠️ For Sale,72.94,High Value,49.68,70.0,53.35,100.0,81.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
growstack.ai,growstack,.ai,✅ Available,72.89,High Value,302.4,85.0,50.76,92.0,71.0,67.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
solartalk.net,solartalk,.net,✅ Available,72.86,High Value,40.5,85.0,55.84,70.0,81.0,67.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
quantumspace.com,quantumspace,.com,❌ Taken,72.84,High Value,41.4,70.0,65.96,100.0,77.75,48.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
shopmine.com,shopmine,.com,⚠️ For Sale,72.74,High Value,49.68,70.0,46.56,100.0,88.5,74.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
fitpro.tech,fitpro,.tech,⚠️ For Sale,72.69,High Value,148.5,85.0,49.96,60.0,86.0,85.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
healthcook.com,healthcook,.com,⚠️ For Sale,72.66,High Value,49.68,70.0,63.05,100.0,74.5,60.0,70.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
payhost.co,payhost,.co,✅ Available,72.44,High Value,108.0,70.0,60.14,78.0,83.5,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
deepapp.in,deepapp,.in,✅ Available,72.1,High Value,67.5,85.0,67.6,30.0,86.0,80.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
scancare.net,scancare,.net,❌ Taken,72.1,High Value,54.0,85.0,48.8,70.0,82.5,74.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
zengreen.com,zengreen,.com,❌ Taken,71.98,High Value,49.68,70.0,48.5,100.0,82.25,74.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
leadpro.ai,leadpro,.ai,⚠️ For Sale,71.96,High Value,378.0,85.0,46.44,92.0,65.25,80.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
cloudride.io,cloudride,.io,❌ Taken,71.94,High Value,183.6,70.0,60.14,85.0,82.25,67.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
gameapp.uk,gameapp,.uk,✅ Available,71.66,High Value,67.5,85.0,65.84,30.0,86.0,80.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
smartapp.de,smartapp,.de,❌ Taken,71.65,High Value,54.0,95.0,58.2,30.0,83.5,74.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
drawgame.tech,drawgame,.tech,✅ Available,71.59,High Value,118.8,70.0,65.96,60.0,88.5,74.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
getshop.com,getshop,.com,❌ Taken,71.54,High Value,62.1,70.0,46.56,100.0,79.5,80.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
snaptrade.com,snaptrade,.com,❌ Taken,71.51,High Value,49.68,70.0,50.44,100.0,81.0,67.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
healthrent.ai,healthrent,.ai,✅ Available,71.46,High Value,302.4,70.0,63.05,92.0,74.5,60.0,70.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
cloudrent.io,cloudrent,.io,❌ Taken,71.44,High Value,183.6,70.0,60.14,85.0,79.75,67.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
cloudhost.io,cloudhost,.io,❌ Taken,71.44,High Value,183.6,70.0,60.14,85.0,79.75,67.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
hireshop.com,hireshop,.com,✅ Available,71.39,High Value,49.68,70.0,46.56,100.0,81.75,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
neonbank.com,neonbank,.com,⚠️ For Sale,71.38,High Value,49.68,70.0,48.5,100.0,79.25,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
selllearn.co,selllearn,.co,✅ Available,71.21,High Value,64.8,85.0,46.44,78.0,78.5,67.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
myhealth.co,myhealth,.co,⚠️ For Sale,71.01,High Value,86.4,70.0,63.05,78.0,75.75,74.0,62.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
findpad.com,findpad,.com,✅ Available,70.99,High Value,62.1,70.0,53.35,100.0,68.25,80.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
hostpay.net,hostpay,.net,❌ Taken,70.98,High Value,67.5,70.0,60.14,70.0,82.25,80.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
cloudgrid.io,cloudgrid,.io,❌ Taken,70.94,High Value,183.6,70.0,60.14,85.0,77.25,67.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
neuralapp.uk,neuralapp,.uk,✅ Available,70.9,High Value,54.0,85.0,72.0,30.0,81.0,67.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
apexcyber.com,apexcyber,.com,❌ Taken,70.73,High Value,49.68,70.0,60.14,100.0,65.0,67.0,65.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
scangame.tech,scangame,.tech,✅ Available,70.39,High Value,118.8,70.0,65.96,60.0,82.5,74.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
sellbox.com,sellbox,.com,❌ Taken,70.39,High Value,62.1,70.0,40.74,100.0,81.0,80.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
gamefind.in,gamefind,.in,✅ Available,70.34,High Value,40.5,85.0,65.34,30.0,83.0,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
quantum.in,quantum,.in,❌ Taken,70.3,High Value,67.5,80.0,68.0,30.0,84.0,80.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
echocrypto.ai,echocrypto,.ai,✅ Available,70.12,High Value,302.4,70.0,67.9,92.0,61.75,60.0,70.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
ecoapp.in,ecoapp,.in,❌ Taken,70.03,High Value,67.5,85.0,58.3,30.0,84.75,85.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
leadapp.tech,leadapp,.tech,❌ Taken,69.95,Medium Value,107.25,85.0,57.6,60.0,65.25,80.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
leadpro.co,leadpro,.co,⚠️ For Sale,69.86,Medium Value,78.0,85.0,46.44,78.0,65.25,80.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
tokenai.in,tokenai,.in,❌ Taken,69.83,Medium Value,48.75,85.0,89.1,30.0,47.75,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
bankdata.de,bankdata,.de,❌ Taken,69.55,Medium Value,39.0,85.0,62.2,30.0,83.0,74.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
cloudapp.in,cloudapp,.in,❌ Taken,69.49,Medium Value,39.0,85.0,60.56,30.0,84.75,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
getcore.io,getcore,.io,⚠️ For Sale,69.34,Medium Value,165.75,70.0,40.74,85.0,87.0,80.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
playlab.de,playlab,.de,❌ Taken,69.28,Medium Value,48.75,85.0,58.3,30.0,83.5,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
flowapp.us,flowapp,.us,❌ Taken,69.28,Medium Value,48.75,85.0,58.3,30.0,83.5,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
cookfind.com,cookfind,.com,❌ Taken,69.19,Medium Value,26.91,55.0,53.35,100.0,84.75,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
bankapp.ae,bankapp,.ae,✅ Available,69.15,Medium Value,48.75,85.0,57.8,30.0,83.5,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
turbosell.com,turbosell,.com,⚠️ For Sale,69.09,Medium Value,35.88,70.0,40.74,100.0,81.0,67.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
mycyber.net,mycyber,.net,❌ Taken,69.08,Medium Value,48.75,70.0,60.14,70.0,72.75,80.0,25.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
gamesync.in,gamesync,.in,❌ Taken,69.06,Medium Value,39.0,85.0,64.84,30.0,77.25,74.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
netapp.in,netapp,.in,❌ Taken,68.9,Medium Value,48.75,85.0,52.8,30.0,86.0,85.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
driftmarket.io,driftmarket,.io,✅ Available,68.9,Medium Value,82.88,85.0,53.2,85.0,59.75,54.0,67.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
quantummind.org,quantummind,.org,❌ Taken,68.64,Medium Value,31.2,70.0,65.96,68.0,77.75,54.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
omnidata.net,omnidata,.net,❌ Taken,68.56,Medium Value,39.0,70.0,63.05,70.0,69.5,74.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
growcode.ae,growcode,.ae,✅ Available,68.45,Medium Value,39.0,85.0,53.4,30.0,88.5,74.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
gettrade.net,gettrade,.net,❌ Taken,68.41,Medium Value,39.0,70.0,50.44,70.0,84.5,74.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
streamapp.in,streamapp,.in,✅ Available,68.2,Medium Value,39.0,85.0,63.2,30.0,78.5,67.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
flowpro.ae,flowpro,.ae,✅ Available,67.85,Medium Value,48.75,85.0,52.6,30.0,83.5,80.0,77.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
sellpad.com,sellpad,.com,❌ Taken,67.84,Medium Value,44.85,70.0,40.74,100.0,68.25,80.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
wellapp.ae,wellapp,.ae,✅ Available,67.75,Medium Value,48.75,85.0,57.6,30.0,76.75,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
mysolar.us,mysolar,.us,⚠️ For Sale,67.71,Medium Value,48.75,85.0,55.84,30.0,78.75,80.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
getcare.in,getcare,.in,⚠️ For Sale,67.6,Medium Value,48.75,85.0,48.8,30.0,87.0,80.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
findhealth.de,findhealth,.de,❌ Taken,67.38,Medium Value,39.0,85.0,62.7,30.0,78.5,60.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
pixellab.in,pixellab,.in,❌ Taken,67.35,Medium Value,39.0,85.0,53.4,30.0,83.0,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
pixelpad.io,pixelpad,.io,❌ Taken,67.33,Medium Value,132.6,70.0,48.5,85.0,70.25,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
vibegrow.org,vibegrow,.org,✅ Available,67.33,Medium Value,37.44,70.0,48.5,68.0,83.0,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
esportpro.co,esportpro,.co,✅ Available,67.14,Medium Value,62.4,85.0,49.96,78.0,53.75,67.0,70.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
tradecloud.au,tradecloud,.au,✅ Available,67.14,Medium Value,39.0,85.0,59.76,30.0,81.0,60.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
codebook.tech,codebook,.tech,✅ Available,67.09,Medium Value,85.8,70.0,53.35,60.0,81.75,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
pixel.in,pixel,.in,❌ Taken,67.05,Medium Value,65.0,80.0,50.0,30.0,85.25,90.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
pixel.de,pixel,.de,❌ Taken,67.05,Medium Value,65.0,80.0,50.0,30.0,85.25,90.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
quantumnet.us,quantumnet,.us,⚠️ For Sale,66.91,Medium Value,39.0,85.0,59.84,30.0,79.75,60.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
arcnest.io,arcnest,.io,✅ Available,66.79,Medium Value,165.75,70.0,46.56,85.0,67.0,80.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
giftgame.de,giftgame,.de,❌ Taken,66.79,Medium Value,39.0,70.0,65.96,30.0,87.0,74.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
swapwave.tech,swapwave,.tech,✅ Available,66.74,Medium Value,85.8,70.0,46.56,60.0,88.5,74.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
hyperpro.co,hyperpro,.co,⚠️ For Sale,66.74,Medium Value,62.4,70.0,40.74,78.0,82.25,74.0,77.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
solarify.us,solarify,.us,✅ Available,66.66,Medium Value,29.25,85.0,55.84,30.0,76.5,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
buildflow.net,buildflow,.net,⚠️ For Sale,66.49,Medium Value,39.0,70.0,53.35,70.0,74.75,67.0,70.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
getpay.de,getpay,.de,❌ Taken,66.44,Medium Value,48.75,70.0,60.14,30.0,87.0,85.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
medpro.de,medpro,.de,❌ Taken,66.3,Medium Value,48.75,85.0,52.6,30.0,73.25,85.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
sellride.net,sellride,.net,✅ Available,66.29,Medium Value,39.0,70.0,40.74,70.0,86.0,74.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
gamebook.ae,gamebook,.ae,✅ Available,65.99,Medium Value,39.0,70.0,65.96,30.0,83.0,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
